年度,総数,面接相談,電話相談,手紙相談
1994,53,16,37,0
1995,708,282,426,0
1996,1103,404,676,23
1997,1107,490,593,24
1998,1231,588,634,9
1999,1356,602,734,20
2000,1045,540,497,8
2001,743,313,430,…
2002,790,297,493,…
2003,887,323,564,…
2004,856,316,540,…
2005,783,255,528,…
2006,848,270,578,…
2007,962,245,717,…
2008,1052,257,795,…
2009,1063,225,838,…
2010,1040,213,827,…
2011,1119,186,933,…
2012,1092,329,763,…
2013,1119,363,756,…
2014,1324,404,920,…
2015,1331,361,970,…
2016,1501,415,1086,…
2017,1082,298,784,…
2018,1045,344,701,…
2019,1098,287,811,…
2020,928,91,837,…
2021,1294,132,1162,…
2022,1492,282,1210,…
2023,1283,257,1026,…
