年度,入園者・博物館入館者_総数(人),入園者_大人(人),入園者_子ども(人),博物館入館者_大人(人),博物館入館者_子ども(人),プラネタリウム観覧者_総数(人),プラネタリウム観覧者_大人(人),プラネタリウム観覧者_子ども(人)
1987,115549,25227,12023,43450,34849,107511,54570,52941
1988,140474,33460,14569,50483,41962,101442,50501,50941
1989,196180,78512,36183,46648,34837,107352,55228,52124
1990,214931,100162,45608,38664,30497,103980,52982,50998
1991,296842,153512,72102,43085,28143,110673,60479,50194
1992,304905,154011,70173,47526,33195,108278,60283,47995
1993,292327,164250,60986,40306,26785,97696,55496,42200
1994,307413,186467,63140,35499,22307,86831,46797,40034
1995,326241,200468,71491,33540,20742,84450,45802,38648
1996,305355,198500,60214,29311,17330,87183,47949,39234
1997,314979,206518,69800,22866,15795,70796,36453,34343
1998,300764,198909,62930,22941,15984,59402,29875,29527
1999,350661,217465,99810,18083,15303,55759,26729,29030
2000,320231,196916,93052,15810,14453,55302,25773,29529
2001,296412,…,…,204991,91421,51694,23241,28453
2002,287670,…,…,196684,90986,46160,22391,23769
2003,311254,…,…,220179,91075,50729,24492,26237
2004,284236,…,…,199300,84936,49207,24555,24652
2005,310959,…,…,201741,109218,43151,21726,21425
2006,301159,…,…,201883,99276,54912,27743,27169
2007,348423,…,…,230502,117921,68029,37803,30226
2008,306861,…,…,207120,99741,57124,30549,26575
2009,307433,…,…,206684,100749,57034,32999,24035
2010,313922,…,…,211344,102578,72683,44090,28593
2011,278021,…,…,186814,91207,67022,36394,30628
2012,293158,…,…,195094,98064,65538,33518,32020
2013,287834,…,…,189620,98214,66542,35190,31352
2014,266106,…,…,183374,82732,47049,25873,21176
2015,294858,…,…,203956,90902,61546,33848,27698
2016,308057,…,…,209438,98619,66023,34195,31828
2017,283766,…,…,193001,90765,44459,22467,21992
2018,274662,…,…,194673,79989,59594,35351,24243
2019,276650,…,…,190731,85919,58490,33708,24782
2020,191376,…,…,151676,39700,36900,22579,14321
2021,231256,…,…,176842,54414,46609,27828,18781
2022,350447,…,…,243110,107337,69549,39577,29972
2023,289230,…,…,210332,78898,32020,17626,14394
