年度,種痘_対象者,種痘_実施人員,種痘_実施率(%),ジフテリア・百日せき・破傷風混合_対象者,ジフテリア・百日せき・破傷風混合_実施人員,ジフテリア・百日せき・破傷風混合_実施率(%),ジフテリア・破傷風混合_対象者,ジフテリア・破傷風混合_実施人員,ジフテリア・破傷風混合_実施率(%),ジフテリア・百日せき・破傷風・ポリオ混合_対象者,ジフテリア・百日せき・破傷風・ポリオ混合_実施人員,ジフテリア・百日せき・破傷風・ポリオ混合_実施率(%),ジフテリア・百日せき混合_対象者,ジフテリア・百日せき混合_実施人員,ジフテリア・百日せき混合_実施率(%),ジフテリア_対象者,ジフテリア_実施人員,ジフテリア_実施率(%),腸チフス・パラチフス_対象者,腸チフス・パラチフス_実施人員,腸チフス・パラチフス_実施率(%),ポリオ(急性灰白髄炎)_対象者,ポリオ(急性灰白髄炎)_実施人員,ポリオ(急性灰白髄炎)_実施率(%),日本脳炎_対象者,日本脳炎_実施人員,日本脳炎_実施率(%),麻しん・風しん混合_対象者,麻しん・風しん混合_実施人員,麻しん・風しん混合_実施率(%),麻しん_対象者,麻しん_実施人員,麻しん_実施率(%),風しん_対象者,風しん_実施人員,風しん_実施率(%),ＭＭＲ_対象者,ＭＭＲ_実施人員,ＭＭＲ_実施率(%),ＢＣＧ_対象者,ＢＣＧ_実施人員,ＢＣＧ_実施率(%),ＨＰＶ_対象者,ＨＰＶ_実施人員,ＨＰＶ_実施率(%),ヒブ_対象者,ヒブ_実施人員,ヒブ_実施率(%),小児用肺炎球菌_対象者,小児用肺炎球菌_実施人員,小児用肺炎球菌_実施率(%),水痘_対象者,水痘_実施人員,水痘_実施率(%),Ｂ型肝炎_対象者,Ｂ型肝炎_実施人員,Ｂ型肝炎_実施率(%),ロタウイルス_対象者,ロタウイルス_実施人員,ロタウイルス_実施率(%)
1961,5076,4345,85.6,…,…,…,…,…,…,…,…,…,3575,2192,61.3,3289,2960,90,29380,14472,49.3,6064,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1962,5218,4555,87.3,…,…,…,…,…,…,…,…,…,3712,2864,77.2,3306,2987,90.1,…,…,…,3777,2959,78.3,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1963,5770,4844,84,…,…,…,…,…,…,…,…,…,4732,3257,68.8,3279,2878,87.7,61800,18536,30,5657,3634,64.2,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1964,5915,5079,85.9,…,…,…,…,…,…,…,…,…,4901,3507,71.6,3387,3077,90.9,36875,18848,51.1,4064,3321,81.7,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1965,6498,5551,85.4,…,…,…,…,…,…,…,…,…,5555,4413,79.4,3413,3122,91.5,100838,19167,19,5403,4612,85.4,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1966,6835,5843,85.5,…,…,…,…,…,…,…,…,…,12129,8597,70.9,3872,3543,91.5,105467,21097,20,6279,5318,84.7,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1967,6952,6188,89,…,…,…,…,…,…,…,…,…,11969,9190,76.8,4063,3566,87.8,106726,24402,22.9,5400,4777,88.5,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1968,7522,4839,64.3,…,…,…,…,…,…,…,…,…,13700,9939,72.6,4052,3586,88.5,111250,20868,18.8,6900,6216,90.1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1969,7813,6499,83.2,…,…,…,…,…,…,…,…,…,13166,10762,81.7,4469,3528,78.9,0,0,…,6938,6214,89.6,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1970,6603,5705,86.4,…,…,…,…,…,…,…,…,…,13877,9110,65.6,4883,3871,79.2,0,0,…,6805,5985,87.9,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
