年度,現年課税分_調定額(円),現年課税分_収納額(円),"現年課税分_収納率
(%)",滞納繰越分_調定額(円),滞納繰越分_収納額(円),"滞納繰越分_収納率
(%)"
2008,1601097200,1594320300,99.6,0,0,0
2009,1630753000,1622843100,99.5,10753800,7115700,66.2
2010,1765878100,1756924400,99.5,13958000,9458900,67.8
2011,1817618700,1806523900,99.4,15523300,7700100,49.6
2012,2060341500,2048650900,99.4,20177000,10297000,51
2013,2101467400,2087466700,99.3,23112500,10190200,44.1
2014,2298690100,2287414700,99.5,25053000,12750700,50.9
2015,2319175200,2309404600,99.57870367,22820100,11836100,51.86699445
2016,2434609400,2422615400,99.50735424,20249600,8666800,42.79985777
2017,2502498600,2490979700,99.53970404,22513100,10837500,48.13863928
2018,2602774500,2592572700,99.60804134,20940300,9362600,44.71091627
2019,2697324600,2683743300,99.49648997,20604900,6369300,30.91157928
2020,2776350600,2762441500,99.49648997,23514200,8046200,34.21847224
2021,2804335900,2787982860,99.41686586,25119200,8311200,33.08704099
2022,3148415700,3128704280,99.4,29215740,13383440,45.8
2023,3251943800,3234876900,99.5,31562420,10044120,31.8
