年度,展覧会名,観覧者数(人)
2000,生誕百年記念牛島憲之展ほか4展,79141
2001,マネ展ほか6展,122296
2002,クリストファードレッサーと日本展ほか6展,71524
2003,モーリスドニ展ほか6展,91062
2004,遠藤彰子展ほか6展,65311
2005,ベルギー近大の美展ほか6展,79843
2006,カミーユ・クローデル展ほか6展,92425
2007,キスリング展ほか6展,95200
2008,パリ・ニューヨーク近代絵画展ほか6展,91365
2009,ターナーから印象派へ展ほか5展,115145
2010,１０周年記念展バルビゾンからの贈りもの展ほか5展,163368
2011,世紀末、美のかたち展ほか5展,91095
2012,ポール・デルヴォー展ほか5展,92090
2013,ウィリアム・モリス展ほか5展,127161
2014,ミレー展ほか5展,134560
2015,マリー・ローランサン展ほか5展,118075
2016,藤田嗣治展ほか5展,162532
2017,フィンランドデザイン展ほか6展,163523
2018,長谷川利行展ほか3展,93712
2019,へそまがり日本美術展ほか5展,184884
2020,日本の美術を貫く炎の筆線展ほか5展,40752
2021,動物の絵 日本とヨーロッパ展ほか５展,144530
2022,アーツ・アンド・クラフツとデザイン展ほか５展,163008
2023,インド細密画展ほか５展,122418
