年度,総数(人),体育室(人),温水プール(人),トレーニング室(人),フィットネスラボ(人),宿泊施設(人)
1993,220861,34016,132908,47778,…,6159
1994,229650,35723,132722,53582,…,7623
1995,214574,33392,122722,51778,…,6682
1996,202618,29296,116068,50549,…,6705
1997,212619,27672,126780,52656,…,5511
1998,214884,24135,128310,56945,…,5494
1999,236068,23969,151720,55339,…,5040
2000,208731,21676,136850,45221,…,4984
2001,196883,21191,127003,43796,…,4893
2002,204685,25605,126164,47658,…,5258
2003,198652,30593,114638,48245,…,5176
2004,203222,30490,123632,44154,…,4946
2005,190853,30674,112108,43047,…,5024
2006,173613,26610,101409,41734,…,3860
2007,136084,27963,65809,38834,…,3478
2008,149132,27142,80317,38667,…,3006
2009,148604,27226,78396,39529,…,3453
2010,142427,26750,74285,38409,…,2983
2011,145475,26761,72128,43566,…,3020
2012,141747,25338,74642,38453,…,3314
2013,219562,26056,104049,59258,26428,3771
2014,235818,28751,111586,62072,30073,3336
2015,245199,28541,115445,67785,29938,3490
2016,219541,29402,79873,73485,33309,3472
2017,248437,29408,109658,74328,32047,2996
2018,231967,31190,88635,76809,32321,3012
2019,214278,29777,76979,73488,31627,2407
2020,75068,16470,36335,12662,9601,0
2021,76596,19203,12444,26184,18627,138
2022,136919,23780,54504,35233,22715,687
2023,153589,25561,56946,47397,22879,806
