時点,総数,要支援,要支援1,要支援2,要介護1,要介護2,要介護3,要介護4,要介護5
2002/3/31,4142,508,…,…,1089,901,595,553,496
2003/3/31,5004,737,…,…,1432,1003,686,607,539
2004/3/31,5743,848,…,…,1829,913,731,735,687
2005/3/31,6258,998,…,…,2043,928,778,780,731
2006/3/31,6690,1087,…,…,2181,1035,809,813,765
2007/3/31,6674,…,755,797,1191,1285,966,863,817
2008/3/31,6871,…,722,907,1092,1342,1053,931,824
2009/3/31,7134,…,809,882,1203,1328,1080,974,858
2010/3/31,7435,…,916,851,1426,1330,1009,960,943
2011/3/31,7876,…,1115,841,1694,1272,948,951,1055
2012/3/31,8303,…,1152,908,1805,1387,1003,985,1063
2013/3/31,8799,…,1290,988,1991,1403,1082,987,1058
2014/3/31,9288,…,1356,1142,2035,1522,1123,1077,1033
2015/3/31,9689,…,1414,1113,2291,1578,1141,1086,1066
2016/3/31,10015,…,1391,1103,2511,1564,1224,1131,1091
2017/3/31,10390,…,1420,1126,2535,1649,1305,1219,1136
2018/3/31,10759,…,1394,1159,2596,1756,1344,1349,1161
2019/3/31,11185,…,1679,1322,2673,1690,1371,1323,1127
2020/3/31,11288,…,1772,1604,2351,1690,1362,1422,1087
2021/3/31,11339,…,1826,1673,2336,1654,1402,1443,1005
2022/3/31,11445,…,1907,1649,2390,1688,1352,1490,969
2023/3/31,11504,…,1767,1684,2400,1685,1415,1539,1014
2024/3/31,11782,…,1809,1821,2400,1737,1459,1550,1006
