年度,総数,ばい煙,粉じん,有害ガス,悪臭,水質汚濁,騒音,振動,土壌汚染,電波障害,放射能,その他
1966,37,1,…,…,8,2,7,…,…,…,…,19
1967,46,5,…,…,8,2,11,…,…,…,…,20
1968,26,2,…,…,2,2,10,…,…,…,…,10
1969,78,14,…,…,9,0,53,…,…,…,…,2
1970,82,16,…,…,16,3,31,…,…,…,…,16
1971,135,17,…,…,32,3,59,…,…,…,…,24
1972,128,20,…,…,36,5,46,…,…,…,…,21
1973,91,14,3,0,17,4,49,3,…,0,…,1
1974,104,9,2,1,15,1,43,5,…,27,…,1
1975,111,11,6,5,8,3,47,5,…,23,…,3
1976,144,6,12,2,20,4,58,7,…,29,…,6
1977,174,16,7,4,37,10,65,6,…,23,…,6
1978,171,19,7,3,14,7,63,8,…,47,…,3
1979,205,23,13,…,18,5,59,6,…,74,…,7
1980,157,23,7,…,21,5,49,8,…,43,…,1
1981,128,15,13,3,8,6,49,5,…,27,…,2
1982,98,11,9,3,15,5,37,6,…,10,…,2
1983,138,21,12,2,18,7,44,11,…,20,…,3
1984,158,24,10,3,34,2,52,12,…,18,…,3
1985,176,20,9,1,34,7,45,9,…,33,…,18
1986,148,21,6,1,21,5,48,7,…,30,…,9
1987,165,24,12,2,22,1,54,3,0,36,…,11
1988,139,17,3,0,19,5,64,3,0,17,…,11
1989,143,20,4,0,15,2,60,7,0,29,…,6
1990,156,27,6,0,16,0,63,2,0,37,…,5
1991,195,31,4,0,19,0,64,1,1,70,…,5
1992,153,27,6,0,12,2,47,8,0,47,…,4
1993,201,28,4,1,12,2,64,4,0,78,…,8
1994,175,29,6,2,27,2,55,5,0,39,…,10
1995,135,36,2,0,20,2,38,6,1,23,…,7
1996,101,31,2,1,10,1,37,8,0,8,…,3
1997,115,64,6,2,8,1,25,1,0,0,…,8
1998,144,90,5,0,16,1,19,3,0,7,…,3
1999,133,79,1,1,17,1,27,2,0,4,…,1
2000,105,53,5,0,10,0,22,0,0,14,…,1
2001,110,53,4,0,10,0,25,1,0,15,…,2
2002,74,24,3,0,17,0,24,0,0,5,…,1
2003,123,53,9,0,19,0,33,1,1,5,…,2
2004,105,42,5,0,16,0,29,5,1,4,…,3
2005,106,45,6,0,12,0,38,4,0,0,…,1
2006,126,43,6,0,8,0,62,3,0,1,…,3
2007,111,35,12,0,20,0,34,3,0,5,0,2
2008,89,25,7,0,4,0,45,2,0,1,0,5
2009,69,25,0,0,11,0,33,0,0,0,0,0
2010,63,27,5,0,6,1,19,4,0,0,0,1
2011,462,48,4,0,9,0,33,1,0,0,365,2
2012,109,43,2,0,16,0,45,1,0,0,0,2
2013,74,30,4,0,7,0,27,2,0,0,0,4
2014,99,33,5,0,11,0,45,2,0,0,0,3
2015,110,41,0,0,15,0,44,3,0,0,0,7
2016,124,33,10,0,21,0,51,2,0,1,0,6
2017,118,20,7,0,28,1,54,3,0,0,0,5
2018,101,16,6,0,39,0,34,3,0,0,0,3
2019,129,45,13,0,20,0,38,4,0,0,0,9
2020,163,56,7,0,19,0,71,8,0,0,0,2
2021,155,43,4,0,27,0,67,6,0,0,0,8
2022,168,33,5,0,50,0,68,4,0,0,0,8
2023,105,18,5,0,10,0,70,1,0,0,0,1
