年度,本数
1973,377905800
1974,403556950
1975,407538150
1976,411897294
1977,430489554
1978,453460143
1979,479197574
1980,500545583
1981,492873431
1982,498954220
1983,512787621
1984,519532866
1985,530328800
1986,534054830
1987,531120379
1988,537560438
1989,539768133
1990,555263096
1991,543578122
1992,538906740
1993,543955856
1994,543316022
1995,540435262
1996,576617727
1997,599356296
1998,595446340
1999,561573206
2000,547218998
2001,532557303
2002,531679495
2003,496833630
2004,486239797
2005,458786785
2006,446965198
2007,439495691
2008,410719887
2009,390497701
2010,356530548
2011,327059536
2012,320726021
2013,315542162
2014,296455075
2015,292176307
2016,280906593
2017,262250260
2018,247371586
2019,235900520
2020,220421663
2021,219066395
2022,220338252
2023,225781420
