年次,総数,総数_男,総数_女,0歳_総数,0歳_男,0歳_女,1～9歳_総数,1～9歳_男,1～9歳_女,10～19歳_総数,10～19歳_男,10～19歳_女,20～29歳_総数,20～29歳_男,20～29歳_女,30～39歳_総数,30～39歳_男,30～39歳_女,40～49歳_総数,40～49歳_男,40～49歳_女,50～59歳_総数,50～59歳_男,50～59歳_女,60～69歳_総数,60～69歳_男,60～69歳_女,70～79歳_総数,70～79歳_男,70～79歳_女,80歳以上_総数,80歳以上_男,80歳以上_女
1973,656,381,275,40,21,19,18,13,5,4,2,2,21,17,4,28,14,14,66,44,22,72,47,25,116,76,40,168,97,71,123,50,73
1974,672,367,305,39,23,16,13,5,8,6,5,1,21,9,12,35,24,11,58,35,23,81,49,32,128,86,42,164,90,74,127,41,86
1975,720,393,327,25,16,9,14,7,7,3,3,0,21,16,5,45,29,16,69,47,22,69,40,29,121,70,51,196,104,92,157,61,96
1976,714,390,324,26,14,12,11,7,4,7,5,2,24,14,10,34,21,13,46,26,20,89,53,36,166,104,62,177,91,86,134,55,79
1977,698,393,305,23,12,11,20,9,11,7,6,1,20,14,6,29,21,8,55,34,21,76,45,31,129,82,47,192,108,84,147,62,85
1978,736,410,326,17,6,11,11,4,7,7,7,0,16,10,6,30,20,10,66,41,25,87,56,31,137,86,51,198,111,87,167,69,98
1979,689,373,316,15,7,8,7,3,4,6,3,3,18,12,6,36,24,12,49,30,19,82,51,31,121,75,46,224,119,105,131,49,82
1980,776,455,321,13,8,5,11,4,7,4,3,1,16,14,2,36,21,15,55,38,17,96,62,34,149,96,53,210,119,91,186,90,96
1981,778,437,341,10,8,2,7,5,2,8,6,2,15,10,5,23,17,6,82,45,37,99,62,37,142,88,54,209,122,87,183,74,109
1982,804,448,356,19,12,7,9,8,1,5,3,2,15,9,6,19,13,6,64,47,17,110,75,35,138,84,54,215,114,101,210,83,127
1983,810,463,347,8,3,5,9,6,3,10,6,4,24,20,4,26,20,6,62,37,25,90,72,18,139,77,62,219,127,92,223,95,128
1984,812,451,361,9,6,3,5,1,4,8,6,2,10,9,1,32,23,9,48,32,16,103,74,29,128,81,47,257,145,112,212,74,138
1985,815,472,343,9,7,2,4,3,1,10,4,6,13,9,4,19,12,7,62,39,23,111,80,31,121,71,50,245,137,108,221,110,111
1986,880,509,371,10,5,5,6,3,3,4,1,3,19,11,8,21,15,6,61,38,23,126,84,42,130,83,47,248,148,100,255,121,134
1987,872,483,389,12,6,6,7,3,4,13,9,4,13,7,6,23,20,3,54,33,21,108,60,48,138,84,54,228,142,86,276,119,157
1988,949,551,398,11,6,5,3,3,0,6,5,1,17,14,3,23,17,6,56,33,23,107,73,34,154,92,62,275,164,111,297,144,153
1989,981,553,428,10,6,4,8,2,6,14,11,3,15,9,6,21,13,8,57,36,21,116,84,32,154,98,56,257,146,111,329,148,181
1990,989,555,434,6,2,4,3,0,3,7,5,2,11,7,4,21,16,5,62,38,24,108,76,32,149,88,61,273,156,117,349,167,182
1991,998,629,369,7,4,3,5,3,2,8,4,4,17,14,3,20,18,2,51,35,16,111,79,32,192,135,57,260,173,87,327,164,163
1992,1078,629,449,8,4,4,5,3,2,7,3,4,23,15,8,19,13,6,44,26,18,124,89,35,177,123,54,278,171,107,393,182,211
1993,1071,580,491,10,6,4,3,1,2,8,5,3,16,11,5,19,13,6,56,32,24,99,62,37,189,137,52,265,138,127,406,175,231
1994,1124,635,489,6,4,2,6,1,5,3,3,0,10,6,4,16,10,6,42,27,15,125,71,54,234,163,71,257,158,99,425,192,233
1995,1157,650,507,16,7,9,4,3,1,5,4,1,13,10,3,20,12,8,61,38,23,109,68,41,217,149,68,286,161,125,426,198,228
1996,1162,663,499,10,4,6,5,4,1,4,4,0,17,14,3,20,16,4,44,25,19,111,78,33,181,129,52,309,178,131,461,211,250
1997,1283,732,551,11,7,4,4,2,2,5,3,2,12,6,6,30,19,11,65,31,34,119,77,42,204,144,60,326,204,122,506,238,268
1998,1226,692,534,12,3,9,1,1,0,2,1,1,18,14,4,22,19,3,55,35,20,100,67,33,216,147,69,310,191,119,490,214,276
1999,1407,792,615,10,7,3,3,1,2,7,3,4,10,9,1,31,22,9,47,31,16,123,84,39,264,188,76,371,208,163,541,239,302
2000,1276,695,581,5,2,3,3,1,2,4,3,1,12,6,6,24,14,10,50,34,16,117,75,42,221,146,75,318,184,134,522,230,292
