年度,総数_人員,総数_金額(×1000円),児童手当法による給付_人員,児童手当法による給付_金額(×1000円),子ども手当法による給付_人員,子ども手当法による給付金額_金額(×1000円),児童育成手当条例による給付_人員,児童育成手当条例による給付_金額(×1000円)
1971,22619,66966,2186,6558,…,…,20433,60408
1972,27718,82136,13868,41604,…,…,13850,40532
1973,34270,101582,23372,70116,…,…,10898,31466
1974,38827,125389,29221,97747,…,…,9606,27642
1975,41780,173659,31502,136755,…,…,10278,36904
1976,46491,221022,34602,172997,…,…,11889,48025
1977,49884,242981,36339,181691,…,…,13545,61290
1978,49587,249418,34342,173832,…,…,15245,75586
1979,48516,254214,32070,167539,…,…,16446,86675
1980,46965,250445,29974,158334,…,…,16991,92111
1981,42045,234295,24923,133225,…,…,17122,101070
1982,40073,235870,22381,122707,…,…,17692,113163
1983,39485,242635,21043,115373,…,…,18442,127262
1984,39300,252532,20184,111014,…,…,19116,141518
1985,39597,265126,19752,108380,…,…,19845,156746
1986,43903,277833,24112,111686,…,…,19791,166147
1987,48884,283275,29569,111388,…,…,19315,171887
1988,51350,281557,33219,111188,…,…,18131,170369
1989,50438,276664,33564,109550,…,…,16874,167114
1990,48948,279513,32079,103947,…,…,16869,175566
1991,45541,284132,28979,99717,…,…,16562,184415
1992,46915,383327,28872,173545,…,…,18043,209782
1993,49965,413667,30084,172800,…,…,19881,240867
1994,54605,458329,32625,181140,…,…,21980,277189
1995,53982,472625,31014,171830,…,…,22968,300795
1996,53020,486896,29088,161660,…,…,23932,325236
1997,53617,496975,29077,161455,…,…,24540,335520
1998,55774,519017,29888,165210,…,…,25886,353807
1999,60494,556991,33189,183650,…,…,27305,373341
2000,86569,711928,58055,322485,…,…,28514,389443
2001,122110,920520,92009,509980,…,…,30101,410540
2002,138925,1027519,106869,590515,…,…,32056,437004
2003,147174,1088199,113326,626525,…,…,33848,461674
2004,188557,1324798,153781,850700,…,…,34776,474098
2005,201918,1412436,165285,913090,…,…,36633,499346
2006,252811,1701221,214696,1181940,…,…,38115,519281
2007,267269,2014584,228772,1490120,…,…,38497,524464
2008,268151,2069559,229134,1538135,…,…,39017,531424
2009,270993,2095676,231149,1552740,…,…,39844,542936
2010,402636,4995981,41579,276220,319942,4159246,41115,560515
2011,426862,5356319,155,960,384959,4786083,41748,569276
2012,431650,4746594,317209,3358940,71926,807907,42515,579747
2013,429649,4614584,386905,4031790,107,1254,42637,581540
2014,432494,4631508,389990,4051600,…,…,42504,579908
2015,435324,4656125,392551,4072695,…,…,42773,583430
2016,433482,4622702,390786,4040400,…,…,42696,582302
2017,431222,4585534,390190,4025940,…,…,41032,559594
2018,426828,4522783,387045,3980315,…,…,39783,542468
2019,417607,4394533,379493,3874700,…,…,38114,519833
2020,413544,4316076,376469,3810340,…,…,37075,505736
2021,409210,4248340,372382,3746090,…,…,36828,502250
2023,358869,3837118,324273,3365520,…,…,34596,471598
