年度,利用人数(人)
1973,90298
1974,71361
1975,85595
1976,83479
1977,105851
1978,113662
1979,89195
1980,85262
1981,76852
1982,84066
1983,77192
1984,57188
1985,62135
1986,63526
1987,80016
1988,64024
1989,68884
1990,70768
1991,84339
1992,113887
1993,91731
1994,82607
1995,92949
1996,95328
1997,85868
1998,87567
1999,76316
2000,65388
2001,77272
2002,79224
2003,76231
2004,127937
2005,145154
2006,135347
2007,164924
2008,163339
2009,182493
2010,159467
2011,145355
2012,182857
2013,204187
2014,226977
2015,251264
2016,289004
2017,300686
2018,288168
2019,237165
2020,241396
2021,225006
2022,327152
2023,305238
