年度,利用人数,案内件数
1995,25029,3184
1996,33723,7598
1997,38189,6961
1998,40062,8638
1999,40012,8080
2000,44012,7458
2001,45710,7593
2002,52010,7015
2003,58766,8298
2004,59313,8052
2005,60815,9086
2006,59527,8719
2007,65349,14179
2008,67749,15387
2009,64243,17620
2010,61643,16136
2011,56806,14134
2012,59121,13958
2013,65174,16669
2014,62303,16732
2015,60525,18354
2016,54699,18035
2017,49099,18500
2018,40555,18991
2019,43231,22001
2020,34587,17065
2021,38149,20499
2022,38780,18468
2023,60299,20681
