区分,平成28,29,30,令和元,2
総数件数（件）,87,66,62,53,61
総数平均日数（日）,74.3,94.9,107,96.5,114.4
解決件数（件）,39,25,26,19,19
解決平均日数（日）,87.7,106.1,107.5,142.6,138.4
取下件数（件）,14,12,8,7,6
取下平均日数（日）,93.4,121.8,294,145.1,208.2
打切件数（件）,33,29,28,27,36
打切平均日数（日）,50.3,74.2,53.1,51.5,86.1
不調件数（件）,-,-,-,-,-
不調平均日数（日）,-,-,-,-,-
裁定件数（件）,-,-,-,-,-
裁定平均日数（日）,-,-,-,-,-
