区分,平成29,30,令和元,2,3
総数件数（件）,66,62,53,61,67
総数平均日数（日）,94.9,107,96.5,114.4,89.6
解決件数（件）,25,26,19,19,32
解決平均日数（日）,106.1,107.5,142.6,138.4,76.9
取下件数（件）,12,8,7,6,7
取下平均日数（日）,121.8,294,145.1,208.2,124
打切件数（件）,29,28,27,36,27
打切平均日数（日）,74.2,53.1,51.5,86.1,95.6
不調件数（件）,-,-,-,-,-
不調平均日数（日）,-,-,-,-,-
裁定件数（件）,-,-,-,-,-
裁定平均日数（日）,-,-,-,-,-
