区分１,区分２,平成28（件）,29（件）,30（件）,令和元（件）,2（件）
取扱件数,,160,165,155,139,127
取扱件数,前年からの繰越,48,51,50,47,42
取扱件数,開始,112,114,105,92,85
終結件数,,109,115,108,97,88
終結件数,解決,109,115,107,97,88
終結件数,打切,-,-,1,- ,-
次年繰越,,51,50,47,42,39
