区分,平成28,29,30,令和元,2
総数（件）,87,73,60,48,56
総数（％）,100,100,100,100,100
組合（件）,79,61,53,41,45
組合（％）,90.8,83.6,88.3,85.4,80.4 
使用者（件）,8,8,7,5,11
使用者（％）,9.2,11,11.7,10.4,19.6 
双方（件）,-,4,-,2,-
双方（％）,,5.5,,4.2,
職権（件）,-,-,-,-,-
職権（％）,,,,,
