区分,平成29,30,令和元,2,3
総数（件）,73,60,48,56,83
総数（％）,100,100,100,100,100
組合（件）,61,53,41,45,70
組合（％）,83.6,88.3,85.4,80.4 ,84.3
使用者（件）,8,7,5,11,10
使用者（％）,11,11.7,10.4,19.6 ,12.1
双方（件）,4,-,2,-,3
双方（％）,5.5,,4.2,,3.6
職権（件）,-,-,-,-,-
職権（％）,,,,,
