区分１,区分2,区分３,平成28,29,30,令和元,2
組合,総数（件）,,87,73,60,48,56
組合,総数（％）,,100,100,100,100,100.0 
組合,都内,23区（件）,78,71,53,44,49
組合,都内,23区（％）,89.7,97.3,88.3,91.7,87.5 
組合,都内,市・町・村（件）,7,2,4,4,5
組合,都内,市・町・村（％）,8,2.7,6.7,8.3,8.9 
組合,都外（件）,,2,0,3,0,2
組合,都外（％）,,2.3,0,5,0,3.6 
企業,総数（件）,,87,73,60,48,56
企業,総数（％）,,100,100,100,100,100
企業,都内,23区（件）,67,53,51,34,43
企業,都内,23区（％）,77,72.6,85,70.8,76.8 
企業,都内,市・町・村（件）,9,6,6,5,8
企業,都内,市・町・村（％）,10.3,8.2,10,10.4,14.3 
企業,都外（件）,,11,14,3,9,5
企業,都外（％）,,12.6,19.2,5,18.8,8.9 
