区分1,区分2,取下,和解,取下・和解計,命令・決定,終結計
１年６か月以内計,６か月以内,79,299,378,0,378
１年６か月以内計,６か月超～１年以内,45,251,296,8,304
１年６か月以内計,１年超～１年６か月以内,41,134,175,35,210
１年６か月以内計,,165,684,849,43,892
１年６か月超,,34,145,179,228,407
