区分1,区分2,取下,和解,取下・和解計,命令・決定,終結計
１年６か月以内計,６か月以内,71,285,356,0,356
１年６か月以内計,６か月超～１年以内,42,236,278,8,286
１年６か月以内計,１年超～１年６か月以内,39,125,164,35,199
１年６か月以内計,,152,646,798,43,841
１年６か月超,,28,133,161,206,367
