区分,平成28,29,30,令和元,2
総数（件）,97,104,92,94,114
総数（％）,100,100,100,100,100
有（件）,71,74,71,69,85
有（％）,73.2,71.2,77.2,73.4,74.6
無（件）,26,30,21,25,29
無（％）,26.8,28.8,22.8,26.6,25.4
