区分,平成29,30,令和元,2,3
総数（件）,104,92,94,114,98
総数（％）,100,100,100,100,100
有（件）,74,71,69,85,78
有（％）,71.2,77.2,73.4,74.6,79.6
無（件）,30,21,25,29,20
無（％）,28.8,22.8,26.6,25.4,20.4
