区分１,区分２,平成29,30,令和元,2,3
総数（件）,,50,46,39,37,65
総数（％）,,100,100,100,100 ,100
連合（件）,,16,11,18,12,23
連合（％）,,32,23.9,46.2,32.4 ,35.4
連合,ＪＡＭ（件）,-,-,-,1,1
連合,ＪＥＣ連合（件）,-,-,-,- ,- 
連合,情報労連（件）,1,- ,2,- ,2
連合,ＵAゼンセン同盟（件）,-,1,1,- ,- 
連合,私教組（件）,-,-,-,- ,- 
連合,連合ユニオン（件）,1,-,1,2,- 
連合,全国ユニオン（件）,12,8,13,7,19
連合,その他（件）,2,2,1,2,1
全労連（件）,,21,18,9,9,15
全労連（％）,,42,39.1,23.1,24.3 ,23.1
全労連,日本医労連（件）,2,2,- ,1,- 
全労連,建交労（件）,- ,- ,- ,- ,- 
全労連,全国一般（件）,6,5,3,4,3
全労連,全印総連（件）,- ,- ,- ,- ,- 
全労連,私教連（件）,3,2,3,- ,- 
全労連,ＪＭＩＴＵ（件）,1,1,2,1,1
全労連,民放労連（件）,- ,- ,- ,1,- 
全労連,自交総連（件）,- ,- ,- ,- ,1
全労連,全労連自治労連（件）,6,2,- ,1,- 
全労連,その他（件）,3,6,1,1,10
上記以外（件）,,13,17,12,16,27
上記以外（％）,,26,37,30.8,43.2 ,41.5
全労協,全国一般東京労組（件）,1,3,1,1,1
全労協,国鉄労組（件）,- ,- ,- ,- ,- 
全労協,その他（件）,6,6,9,5,20
出版労連（件）,,- ,1,- ,- ,1
航空連（件）,,2,2,- ,1,- 
新聞労連（件）,,- ,- ,2,- ,- 
その他（件）,,4,5,- ,9,5
