日数,総数,内訳解決,内訳取下,内訳打切,内訳不調,内訳裁定
総　　数,61,19,6,36,-,-
９日以内,5,1,-,4,-,-
10日～19日,9,-,-,9,-,-
20日～29日,2,-,-,2,-,-
30日～59日,9,4,-,5,-,-
60日～89日,6,3,-,3,-,-
90日～179日,17,8,2,7,-,-
180日以上,13,3,4,6,-,-
