区分１,区分２,平成28,29,30,令和元,2
総数（件）,,72,50,46,39,37
総数（％）,,100,100,100,100,100 
連合（件）,,22,16,11,18,12
連合（％）,,30.6,32,23.9,46.2,32.4 
連合,ＪＡＭ（件）,-,-,-,-,1
連合,ＪＥＣ連合（件）,-,-,-,-,- 
連合,情報労連（件）,1,1,- ,2,- 
連合,ＵAゼンセン同盟（件）,-,-,1,1,- 
連合,私教組（件）,-,-,-,-,- 
連合,連合ユニオン（件）,1,1,-,1,2
連合,全国ユニオン（件）,19,12,8,13,7
連合,その他（件）,1,2,2,1,2
全労連（件）,,18,21,18,9,9
全労連（％）,,25,42,39.1,23.1,24.3 
全労連,日本医労連（件）,- ,2,2,- ,1
全労連,建交労（件）,1,- ,- ,- ,- 
全労連,全国一般（件）,6,6,5,3,4
全労連,全印総連（件）,1,- ,- ,- ,- 
全労連,私教連（件）,1,3,2,3,- 
全労連,ＪＭＩＴＵ（件）,2,1,1,2,1
全労連,民放労連（件）,- ,- ,- ,- ,1
全労連,自交総連（件）,- ,- ,- ,- ,- 
全労連,全労連自治労連（件）,2,6,2,- ,1
全労連,その他（件）,5,3,6,1,1
上記以外（件）,,32,13,17,12,16
上記以外（％）,,44.4,26,37,30.8,43.2 
全労協,全国一般東京労組（件）,7,1,3,1,1
全労協,国鉄労組（件）,- ,- ,- ,- ,- 
全労協,その他（件）,10,6,6,9,5
出版労連（件）,,- ,- ,1,- ,- 
航空連（件）,,2,2,2,- ,1
新聞労連（件）,,1,- ,- ,2,- 
その他（件）,,12,4,5,- ,9
