日数,総数,内訳解決,内訳取下,内訳打切,内訳不調,内訳裁定
総　　数,67,32,7,27,-,-
９日以内,3,-,-,3,-,-
10日～19日,7,3,-,4,-,-
20日～29日,5,3,-,2,-,-
30日～59日,19,10,3,6,-,-
60日～89日,10,7,-,3,-,-
90日～179日,16,7,3,6,-,-
180日以上,6,2,1,3,-,-
