区分,平成28,29,30,令和元,2
総数（件）,87,73,60,48,56
総数（％）,100,100,100,100,100
有（件）,13,8,8,7,5
有（％）,14.9,11,13.3,14.6,8.9 
無（件）,74,65,52,41,51
無（％）,85.1,89,86.7,85.4,91.1 
