,令和元年,令和２年,令和３年,令和４年,令和5年
警告,410,495,483,504,418
禁止命令,95,137,139,164,260
ストーカー行為検挙,97,126,102,166,182
禁止命令違反検挙,13,15,15,16,14
ストーカー起因の脅迫等検挙,120,114,101,112,116
