,令和元年,令和２年,令和３年,令和４年,令和５年
つきまとい等（１号）,584,755,600,642,837
監視行為（２号）,28,33,45,25,26
面会・交際等の要求（３号）,410,532,428,450,622
粗野乱暴な言動（４号）,149,247,235,363,386
無言・連続電話等（５号）,376,261,279,356,399
汚物送付等（６号）,8,2,9,8,16
名誉の侵害（７号）,68,72,56,61,89
性的羞恥心の侵害（８号）,70,58,70,77,76
GPS機器等位置情報取得,-,-,1,1,0
GPS機器等取り付け,-,-,2,6,4
