,令和元年,令和２年,令和３年,令和４年,令和５年
20歳未満,104,96,93,95,125
20歳代,489,474,409,445,556
30歳代,331,290,266,299,305
40歳代,214,221,204,206,284
50歳代,68,84,73,103,118
60歳代,22,21,21,34,34
70歳以上,14,12,11,8,9
不明,0,1,0,2,2
密接関係者,20,33,25,15,11
総計,1262,1232,1102,1207,1444
