"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","定員[人]","利用率[%]","部屋数","部屋利用率[%]"
"箱根湯本箱根路開雲","2016","97","2","10","39.6","2","86.0"

"平成30年度港区行政資料集　施設利用状況一覧 臨時借上保養施設","Ver201803",,,,,,
