,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,品種,,,,,,
,,イエメン,,,サウジアラビア,,,,クウェート,,,,,アラブ首長国,,,,,,,,,,
,,アデン,ホディタ,"諸港
(イエメン)",小計,ジエッダ,ジュバイル,"諸港（サウジ
アラビア）",小計,クウェート,シャイバ,シュワイカ,"諸港
(クウェート)",小計,シャルジャー,ドバイ,アブダビ,,,,,,,
化学工業品,,345,-,-,"11,893","8,447",300,"3,146",750,-,690,60,-,"10,261","2,692",341,123,化学工業品,,,,,,
43,陶磁器,-,-,-,6,-,-,6,-,-,-,-,-,69,-,-,18,43,陶磁器,,,,,
44,セメント,-,-,-,10,-,-,10,-,-,-,-,-,150,-,-,-,44,セメント,,,,,
45,ガラス類,-,-,-,18,-,-,18,-,-,-,-,-,274,-,-,-,45,ガラス類,,,,,
46,窯業品,-,-,-,84,21,-,63,-,-,-,-,-,"1,358",-,-,-,46,窯業品,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,
48,石油製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,石油製品,,,,,
49,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,LNG/液化天然ガス,,,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LPG/液化石油ガス,,,,,
51,その他石油製品,-,-,-,"1,016",932,-,84,-,-,-,-,-,-,-,-,-,51,その他石油製品,,,,,
52,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,コークス,,,,,
53,石炭製品,-,-,-,"1,995",-,300,"1,695",-,-,-,-,-,"2,657","2,657",-,-,53,石炭製品,,,,,
54,化学薬品,-,-,-,"1,791","1,636",-,155,-,-,-,-,-,511,-,-,105,54,化学薬品,,,,,
55,化学肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,化学肥料,,,,,
56,その他化学工業品,345,-,-,"6,973","5,858",-,"1,115",750,-,690,60,-,"5,242",35,341,-,56,その他化学工業品,,,,,
軽工業品,,-,-,-,"3,966","3,964",-,2,218,-,-,218,-,"2,070",516,40,-,軽工業品,,,,,,
57,紙・パルプ,-,-,-,"1,610","1,610",-,-,-,-,-,-,-,83,-,2,-,57,紙・パルプ,,,,,
58,糸及び紡績半製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,糸及び紡績半製品,,,,,
59,その他繊維工業品,-,-,-,2,-,-,2,-,-,-,-,-,2,-,2,-,59,その他繊維工業品,,,,,
60,砂糖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,砂糖,,,,,
