,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,
品種,,計,,,,,,        外貿,,,,,,内貿,,,,,,品種,,,
,,計,コンテナ化率,出貨,コンテナ化率,入貨,コンテナ化率,計,コンテナ化率,輸出,コンテナ化率,輸入,コンテナ化率,計,コンテナ化率,移出,コンテナ化率,移入,コンテナ化率,,,,
合計,,"90,780,146",56.5%,"29,300,368",50.4%,"61,479,778",59.4%,"50,116,156",96.1%,"13,508,587",95.9%,"36,607,569",96.2%,"40,663,990",7.7%,"15,791,781",11.5%,"24,872,209",5.3%,合計,,,
農水産品,,"5,740,705",81.6%,"536,772",90.0%,"5,203,933",80.7%,"5,394,370",83.7%,"371,104",99.7%,"5,023,266",82.5%,"346,335",48.3%,"165,668",68.4%,"180,667",29.8%,農水産品,,,
1,麦,"351,874",8.7%,"10,381",69.4%,"341,493",6.9%,"259,817",8.2%,45,100.0%,"259,772",8.2%,"92,057",10.3%,"10,336",69.2%,"81,721",2.8%,1,麦,,
2,米,"45,231",62.7%,"14,701",23.8%,"30,530",81.5%,"25,787",100.0%,"3,127",100.0%,"22,660",100.0%,"19,444",13.2%,"11,574",3.2%,"7,870",28.1%,2,米,,
3,とうもろこし,"6,035",100.0%,852,100.0%,"5,183",100.0%,"5,205",100.0%,37,100.0%,"5,168",100.0%,830,100.0%,815,100.0%,15,100.0%,3,とうもろこし,,
4,豆類,"138,918",96.8%,"9,440",88.1%,"129,478",97.4%,"124,914",100.0%,191,100.0%,"124,723",100.0%,"14,004",68.3%,"9,249",87.9%,"4,755",30.2%,4,豆類,,
5,その他雑穀,"4,701",91.7%,799,87.5%,"3,902",92.6%,"3,341",100.0%,104,100.0%,"3,237",100.0%,"1,360",71.3%,695,85.6%,665,56.4%,5,その他雑穀,,
6,野菜・果物,"1,961,740",65.6%,"102,860",80.5%,"1,858,880",64.7%,"1,838,348",65.3%,"30,238",100.0%,"1,808,110",64.8%,"123,392",68.9%,"72,622",72.4%,"50,770",63.9%,6,野菜・果物,,
7,綿花,666,100.0%,162,100.0%,504,100.0%,516,100.0%,12,100.0%,504,100.0%,150,100.0%,150,100.0%,-,-,7,綿花,,
8,その他農産品,"262,451",99.2%,"22,034",97.4%,"240,417",99.3%,"244,717",100.0%,"9,267",100.0%,"235,450",100.0%,"17,734",87.8%,"12,767",95.5%,"4,967",67.9%,8,その他農産品,,
9,羊毛,714,100.0%,22,100.0%,692,100.0%,692,100.0%,-,-,692,100.0%,22,100.0%,22,100.0%,-,-,9,羊毛,,
10,その他畜産品,"1,682,099",99.3%,"59,059",86.6%,"1,623,040",99.7%,"1,655,687",100.0%,"37,892",100.0%,"1,617,795",100.0%,"26,412",52.9%,"21,167",62.5%,"5,245",14.0%,10,その他畜産品,,
11,水産品,"1,286,276",98.1%,"316,462",97.0%,"969,814",98.4%,"1,235,346",99.8%,"290,191",99.6%,"945,155",99.8%,"50,930",56.9%,"26,271",68.8%,"24,659",44.2%,11,水産品,,
林産品,,"1,293,280",82.0%,"75,937",60.8%,"1,217,343",83.3%,"1,214,787",85.2%,"26,154",100.0%,"1,188,633",84.9%,"78,493",31.9%,"49,783",40.1%,"28,710",17.7%,林産品,,,
12,原木,"4,742",99.2%,"2,342",100.0%,"2,400",98.3%,"4,702",100.0%,"2,342",100.0%,"2,360",100.0%,40,-,-,-,40,-,12,原木,,
13,製材,"1,114,580",80.6%,"59,776",65.6%,"1,054,804",81.5%,"1,059,705",83.1%,"22,089",100.0%,"1,037,616",82.7%,"54,875",33.3%,"37,687",45.4%,"17,188",6.7%,13,製材,,
14,樹脂類,"102,858",89.2%,"9,411",40.4%,"93,447",94.1%,"85,662",100.0%,"1,331",100.0%,"84,331",100.0%,"17,196",35.2%,"8,080",30.6%,"9,116",39.3%,14,樹脂類,,
15,木材チップ,"5,026",82.7%,229,100.0%,"4,797",81.9%,"4,156",100.0%,229,100.0%,"3,927",100.0%,870,-,-,-,870,-,15,木材チップ,,
16,その他林産品,"9,921",52.1%,"3,792",4.8%,"6,129",81.4%,"4,679",100.0%,6,100.0%,"4,673",100.0%,"5,242",9.3%,"3,786",4.6%,"1,456",21.6%,16,その他林産品,,
