,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,     　     アジア,,,,,,,,,,,,,,,,品種,,,,,,
,,          中国,,,,,,,,,,,,,,,,,,,,,,
,,塩田,営口,鎮江,中山,珠海,東山,仏山,江陰,南海,南沙,容奇,順徳,新会,揚州,肇慶,新港、天津,,,,,,,
合計,,"134,854","5,880","29,087","32,829","24,314",15,"3,992","4,069","11,859","65,800","4,375","7,147","3,533","1,036","1,840","811,419",合計,,,,,,
農水産品,,120,-,-,90,-,-,-,-,-,-,15,-,-,-,30,"11,495",農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,"6,623",6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,120,-,-,60,-,-,-,-,-,-,15,-,-,-,30,"2,938",8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,498,10,その他畜産品,,,,,
11,水産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,361",11,水産品,,,,,
林産品,,90,-,-,-,-,-,-,-,-,13,-,-,-,-,45,624,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,90,-,-,-,-,-,-,-,-,13,-,-,-,-,45,-,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,579,17,薪炭,,,,,
鉱産品,,120,"4,511",-,-,-,-,-,-,-,-,-,-,-,-,-,"29,231",鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,460",18,石炭,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,19,鉄鉱石,,,,,
