,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,九州,,,,,,,,,,,,,海上,,,,,,,
,,熊本県,大分県,,,宮崎県,,,　　　　　　　　鹿児島県,,,,沖縄県,,計,海上,,,,,,
,,八代,小計,大分,津久見,小計,細島,油津,小計,川内,志布志,硫黄島,小計,那覇,,小計,海上,,,,,
合計,,"3,045","487,118","122,018","365,100","195,940","33,652","162,288","131,654","46,685","84,500",469,"281,291","281,291",222,222,222,,,,,
農水産品,,-,-,-,-,-,-,-,-,-,-,-,"11,025","11,025",222,222,222,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
6,野菜・果物,-,-,-,-,-,-,-,-,-,-,-,"11,025","11,025",-,-,-,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
8,その他農産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
10,その他畜産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
11,水産品,-,-,-,-,-,-,-,-,-,-,-,-,-,222,222,222,,,,,
林産品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
13,製材,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
鉱産品,,-,"318,278",-,"318,278",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
20,金属鉱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
21,砂利・砂,-,"30,574",-,"30,574",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
22,石材,-,"127,640",-,"127,640",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
23,原油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
25,石灰石,-,"160,064",-,"160,064",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
26,原塩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
27,非金属鉱物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
金属機械工業品,,"2,945","113,080","113,080",-,"17,686","2,260","15,426",680,-,680,-,"98,688","98,688",-,-,-,,,,,
28,鉄鋼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
29,鋼材,"2,945","112,710","112,710",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
30,非鉄金属,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
31,金属製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
33,完成自動車,-,-,-,-,"13,596",970,"12,626",-,-,-,-,"75,878","75,878",-,-,-,,,,,
34,その他輸送用車両,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
35,二輪自動車,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
36,自動車部品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
37,その他輸送機械,-,-,-,-,"4,090","1,290","2,800",680,-,680,-,"22,810","22,810",-,-,-,,,,,
38,産業機械,-,370,370,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
39,電気機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
40,測量・光学・医療用機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
41,事務用機器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
42,その他機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
化学工業品,,-,"55,660","8,838","46,822",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
43,陶磁器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
44,セメント,-,"46,822",-,"46,822",-,-,-,-,-,-,-,-,-,-,-,-,,,,,
45,ガラス類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
46,窯業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
48,石油製品,-,"8,838","8,838",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
49,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
51,その他石油製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
52,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
53,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
54,化学薬品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
55,化学肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
56,その他化学工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
軽工業品,,-,-,-,-,"113,022",-,"113,022","46,685","46,685",-,-,"19,080","19,080",-,-,-,,,,,
57,紙・パルプ,-,-,-,-,"113,022",-,"113,022","46,685","46,685",-,-,"3,320","3,320",-,-,-,,,,,
58,糸及び紡績半製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
59,その他繊維工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
60,砂糖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
61,製造食品,-,-,-,-,-,-,-,-,-,-,-,"5,265","5,265",-,-,-,,,,,
62,飲料,-,-,-,-,-,-,-,-,-,-,-,"10,495","10,495",-,-,-,,,,,
63,水,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
64,たばこ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
65,その他食料工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
雑工業品,,-,-,-,-,-,-,-,-,-,-,-,"9,772","9,772",-,-,-,,,,,
66,がん具,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
67,衣服・身廻品・はきもの,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
68,文房具・運動娯楽用品・楽器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
69,家具装備品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
70,その他日用品,-,-,-,-,-,-,-,-,-,-,-,"9,772","9,772",-,-,-,,,,,
71,ゴム製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
72,木製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
73,その他製造工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
特殊品,,100,100,100,-,"65,232","31,392","33,840","84,289",-,"83,820",469,"142,726","142,726",-,-,-,,,,,
74,金属くず,-,-,-,-,-,-,-,313,-,-,313,-,-,-,-,-,,,,,
75,再利用資材,-,-,-,-,-,-,-,156,-,-,156,-,-,-,-,-,,,,,
76,動植物性製造飼肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
77,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
79,輸送用容器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
80,取合せ品,100,100,100,-,"65,232","31,392","33,840","83,820",-,"83,820",-,"142,726","142,726",-,-,-,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
