,,,,,,,,,,,,,,,(単位：トン）
年月,合計,,,外貿,,,,,,内貿,,,,,
,,,,計,,,, うちコンテナ貨物,,計,,,うちカーフェリー,,
,計,出貨,入貨,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
平成28年(2016年),"85,954,195","27,664,131","58,290,064","48,102,417","13,368,468","34,733,949","46,178,485","12,773,235","33,405,250","37,851,778","14,295,663","23,556,115","9,125,710","4,775,070","4,350,640"
　　　１月　,"6,527,229","1,946,389","4,580,840","3,691,485","922,031","2,769,454","3,508,000","870,503","2,637,497","2,835,744","1,024,358","1,811,386","635,860","334,410","301,450"
　　　２月　,"6,716,160","2,200,936","4,515,224","3,621,558","1,047,825","2,573,733","3,464,151","1,000,252","2,463,899","3,094,602","1,153,111","1,941,491","676,160","360,420","315,740"
　　　３月　,"7,494,276","2,403,915","5,090,361","4,126,818","1,152,067","2,974,751","3,996,046","1,099,784","2,896,262","3,367,458","1,251,848","2,115,610","764,370","409,090","355,280"
　　　４月　,"7,152,557","2,359,290","4,793,267","4,043,380","1,215,940","2,827,440","3,846,851","1,144,375","2,702,476","3,109,177","1,143,350","1,965,827","764,435","388,125","376,310"
　　　５月　,"6,903,216","2,196,482","4,706,734","3,922,418","1,059,435","2,862,983","3,686,128","979,673","2,706,455","2,980,798","1,137,047","1,843,751","711,850","372,280","339,570"
　　　６月　,"7,512,348","2,393,082","5,119,266","4,325,262","1,150,222","3,175,040","4,175,299","1,103,152","3,072,147","3,187,086","1,242,860","1,944,226","749,030","396,265","352,765"
　　　７月　,"7,330,997","2,447,241","4,883,756","4,017,868","1,168,381","2,849,487","3,859,397","1,128,209","2,731,188","3,313,129","1,278,860","2,034,269","799,070","409,975","389,095"
　　　８月　,"6,702,988","2,073,246","4,629,742","3,860,656","1,000,306","2,860,350","3,721,628","953,471","2,768,157","2,842,332","1,072,940","1,769,392","775,675","410,420","365,255"
　　　９月　,"7,211,052","2,362,079","4,848,973","4,043,081","1,112,123","2,930,958","3,899,313","1,087,649","2,811,664","3,167,971","1,249,956","1,918,015","747,930","403,030","344,900"
　　１０月　,"7,351,258","2,448,272","4,902,986","3,978,011","1,145,684","2,832,327","3,843,028","1,105,626","2,737,402","3,373,247","1,302,588","2,070,659","850,490","438,225","412,265"
　　１１月　,"7,451,114","2,342,996","5,108,118","4,195,733","1,106,784","3,088,949","4,071,550","1,062,893","3,008,657","3,255,381","1,236,212","2,019,169","788,105","410,615","377,490"
　　１２月　,"7,601,000","2,490,203","5,110,797","4,276,147","1,287,670","2,988,477","4,107,094","1,237,648","2,869,446","3,324,853","1,202,533","2,122,320","862,735","442,215","420,520"
平成29年(2017年),"90,780,146","29,300,368","61,479,778","50,116,156","13,508,587","36,607,569","48,151,899","12,950,374","35,201,525","40,663,990","15,791,781","24,872,209","10,085,730","5,396,175","4,689,555"
,105.6%,105.9%,105.5%,104.2%,101.0%,105.4%,104.3%,101.4%,105.4%,107.4%,110.5%,105.6%,110.5%,113.0%,107.8%
　　　１月　,"6,990,458","2,069,395","4,921,063","3,944,531","915,431","3,029,100","3,786,228","877,148","2,909,080","3,045,927","1,153,964","1,891,963","747,365","408,745","338,620"
,107.1%,106.3%,107.4%,106.9%,99.3%,109.4%,107.9%,100.8%,110.3%,107.4%,112.7%,104.4%,117.5%,122.2%,112.3%
