,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,　　　　　　　　南アメリカ,,,,,,,,,,,,,,,,品種,,,,,,
,,チリ,,,　　　　　　　　ブラジル,,,,,,,,,,アルゼンチン,,,,,,,,,
,,サン　ビセンテ,コロネル,諸港(チリ),小計,サルバドル,リオデジャネイロ,サントス,パラナグァ,リオグランデ,"イタジャイ及び
ナヴェガンテス",インビトゥーバ,"セペティバ及
びイタグアイ",諸港(ブラジル）,小計,ブエノスアイレス,マルデルプラタ,,,,,,,
合計,,300,60,"8,079","134,320",90,155,"17,087","42,673","3,421","44,116",390,"1,980","24,408","12,193","2,093",656,合計,,,,,,
農水産品,,270,30,"5,962","120,798",30,120,"13,621","41,231",390,"41,519",390,"1,110","22,387","11,030","1,136",656,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,15,-,-,15,-,-,-,-,-,-,30,30,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,-,-,-,-,-,-,-,75,75,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,210,"120,738",30,120,"13,591","41,231",390,"41,519",390,"1,110","22,357","1,063",493,-,10,その他畜産品,,,,,
11,水産品,270,30,"5,752",45,-,-,15,-,-,-,-,-,30,"9,832",508,656,11,水産品,,,,,
林産品,,-,-,-,325,-,-,-,175,-,-,-,-,150,-,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
