,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,,,,,,,,,,,,,,,,,,,,,,
航路別,合計,,,品川岸壁,,,品川コンテナ,,,品川外貿,,,青海コンテナふ頭（公共）,,,青海コンテナふ頭(埠頭㈱),,,お台場ライナーふ頭,,,大井コンテナふ頭,,,大井水産物ふ頭,,,大井食品ふ頭（OL）,,,大井食品ふ頭（OM）,,,大井食品ふ頭（ON）,,,15号地木材ふ頭,,,中央防波堤内側ばら物ふ頭,,,民間,,
,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入
合計,"50,116,156","13,508,587","36,607,569","4,391,626","1,104,412","3,287,214","4,354,694","1,099,996","3,254,698","36,932","4,416","32,516","8,641,656","1,745,462","6,896,194","7,087,184","1,664,283","5,422,901","766,711","545,258","221,453","26,466,215","8,151,732","18,314,483","2,682","1,182","1,500","244,048",-,"244,048","108,967",-,"108,967","12,050",-,"12,050","125,603",752,"124,851","205,019",-,"205,019","2,064,395","295,506","1,768,889"
定期航路計,"48,990,147","13,109,527","35,880,620","4,391,626","1,104,412","3,287,214","4,354,694","1,099,996","3,254,698","36,932","4,416","32,516","8,641,656","1,745,462","6,896,194","7,087,184","1,664,283","5,422,901","304,700","148,132","156,568","26,466,215","8,151,732","18,314,483",-,-,-,"26,038",-,"26,038",-,-,-,-,-,-,-,-,-,"9,074",-,"9,074","2,063,654","295,506","1,768,148"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"6,918,849","2,378,590","4,540,259",-,-,-,-,-,-,-,-,-,"145,100","111,138","33,962","885,615","79,355","806,260","136,725",-,"136,725","5,751,409","2,188,097","3,563,312",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北米東岸(カリビア海含む),"1,779,788","733,900","1,045,888",-,-,-,-,-,-,-,-,-,-,-,-,"2,900",620,"2,280",-,-,-,"1,776,888","733,280","1,043,608",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北欧・地中海,"2,993,195","1,290,818","1,702,377","9,116","3,347","5,769","9,116","3,347","5,769",-,-,-,"23,233","11,102","12,131","34,826","12,036","22,790",-,-,-,"2,926,020","1,264,333","1,661,687",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
南米西岸,"729,191","22,860","706,331",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"703,153","22,860","680,293",-,-,-,"26,038",-,"26,038",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"380,739","44,213","336,526",-,-,-,-,-,-,-,-,-,-,-,-,"186,807","25,335","161,472",-,-,-,"114,676","18,878","95,798",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,074",-,"9,074","70,182",-,"70,182"
印パ･ペルシャ･ベンガル,"1,526,689","928,536","598,153",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,526,689","928,536","598,153",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"17,948,526","4,395,209","13,553,317","303,960","50,662","253,298","303,960","50,662","253,298",-,-,-,"2,698,452","568,014","2,130,438","3,917,989","1,277,590","2,640,399","61,461","60,605",856,"10,531,454","2,435,247","8,096,207",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"435,210","3,091","432,119"
台湾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"2,078,618","615,845","1,462,773","1,829,346","493,765","1,335,581","1,823,634","492,249","1,331,385","5,712","1,516","4,196",-,-,-,"29,721","9,235","20,486","84,299","84,299",-,"135,252","28,546","106,706",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中国(香港含む),"14,634,552","2,699,556","11,934,996","2,249,204","556,638","1,692,566","2,217,984","553,738","1,664,246","31,220","2,900","28,320","5,774,871","1,055,208","4,719,663","2,029,326","260,112","1,769,214","22,215","3,228","18,987","3,000,674","531,955","2,468,719",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,558,262","292,415","1,265,847"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
不定期航路,"1,126,009","399,060","726,949",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"462,011","397,126","64,885",-,-,-,"2,682","1,182","1,500","218,010",-,"218,010","108,967",-,"108,967","12,050",-,"12,050","125,603",752,"124,851","195,945",-,"195,945",741,-,741
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
