,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,品種,,,,,,
,,中国,,,,,,,,,,,,,,,,,,,,,,
,,秦皇島,天津,青島,連雲港,上海,仙頭,黄埔,湛江,南通,張家港,福州,寧波－舟山,温州,煙台,海門,厦門,,,,,,,
合計,,"2,170","3,712","186,331","13,660","1,217,393","3,008","143,550",66,"16,403","31,870","5,312","387,441",437,"26,411","12,465","74,287",合計,,,,,,
農水産品,,-,-,218,30,399,-,-,-,210,-,24,"1,096",-,107,-,35,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,212,30,182,-,-,-,-,-,-,42,-,-,-,35,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,4,-,126,-,-,-,-,-,24,730,-,-,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,-,-,210,-,-,24,-,-,-,-,10,その他畜産品,,,,,
11,水産品,-,-,2,-,91,-,-,-,-,-,-,300,-,107,-,-,11,水産品,,,,,
林産品,,-,-,231,-,"5,012",-,"5,610",-,-,-,-,347,-,"1,588",-,266,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,231,-,"4,884",-,"5,610",-,-,-,-,-,-,"1,588",-,266,13,製材,,,,,
14,樹脂類,-,-,-,-,128,-,-,-,-,-,-,347,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,薪炭,,,,,
鉱産品,,-,30,101,-,"4,054",-,75,-,-,-,-,280,-,29,-,"1,200",鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,,,
