,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,品種,,,,,,
,,マレーシア,,,,,,,,シンガポール,,,,インドネシア,,,,,,,,,,
,,ビンツーロー,シブ,クチン,パシールグダン,バターワーズ,ジョホーバル,"タンジュン
ペレパス","諸港
(マレーシア)",小計,シンガポール,ジュロン,"諸港
(シンガポール)",小計,ビンタン,バンジャルマシン,スラバヤ,,,,,,,
合計,,42,240,"5,797","57,723",357,572,"9,468","14,118","243,241","242,875",22,344,"349,981",22,30,"23,493",合計,,,,,,
農水産品,,-,30,"1,035",930,-,-,-,42,"6,896","6,566",-,330,"10,805",-,-,"6,355",農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,366,366,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,-,-,-,-,-,486,486,-,-,65,-,-,30,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,-,-,"1,126","1,126",-,-,92,-,-,2,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,-,-,870,870,-,-,32,-,-,-,10,その他畜産品,,,,,
11,水産品,-,30,"1,035",930,-,-,-,42,"4,048","3,718",-,330,"10,616",-,-,"6,323",11,水産品,,,,,
林産品,,-,-,-,-,-,-,-,-,330,330,-,-,561,-,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,403,-,-,-,12,原木,,,,,
13,製材,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,330,330,-,-,158,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,薪炭,,,,,
鉱産品,,-,-,-,-,-,-,-,-,174,174,-,-,698,-,-,-,鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭,,,,,
