年度（西暦）,財政的支援（補助金等）（件）,参入の機会提供（委託・協定等）（件）,共催・後援（件）,意見・情報交換（件）,登録団体（団体）,協働提案・実現事業数（件）
2019,1,7,5,5,7,0
2020,1,7,2,1,7,0
2021,1,7,1,1,7,0
