年度（西暦）,市管理灯（基）,自治会等管理灯（基）,商店会管理灯（基）,緑地照明灯（基）,公園照明灯（基）,堀上緑道照明灯（基）,野川サイクリング道路照明灯（基）,総基数（基）
2019,33,0,0,0,1,0,0,34
2020,10,0,0,0,0,0,0,10
2021,20,0,0,6,7,0,0,33
累計,4605,0,304,119,167,17,49,5238
