年度（西暦）,多摩川統一清掃参加者数（人）,多摩川統一清掃可燃ごみ回収量（kg）,多摩川統一清掃不燃ごみ回収量（kg）,多摩川統一清掃ビン回収量（kg）,多摩川統一清掃缶回収量（kg）,多摩川統一清掃ペットボトル回収量（kg）,多摩川統一清掃回収量合計（kg）,野川美化清掃回収量（kg）,クリーン大作戦回収量（kg）
2019,2063,270,130,10,10,20,440,55.7,0
2020,0,0,0,0,0,0,0,0,540
2021,0,0,0,0,0,0,0,0,740
