名称,位置,面積(㎡),開園年月
中村児童公園,東野川２－１６－１０,511.55,昭和62年11月
丸山児童公園,和泉本町２－１５－３,548.87,昭和36年３月
供養塚児童公園,駒井町３－３－１,"1,301.30",昭和42年１月
田中の池児童公園,元和泉２－１７－１,915.78,昭和48年８月
みつおさ児童公園,東野川３－１６－４,"1,032.12",昭和50年３月
西河原公園,元和泉２－３８－１,"16,070.61",昭和50年３月
野川緑地公園,和泉本町･岩戸北･東･西野川,"23,252.99",昭和50年３月
藤塚第一児童公園,和泉本町４－７－１４,898.99,昭和51年３月
藤塚第二児童公園,和泉本町４－７－１２,232.43,昭和51年３月
藤塚第三児童公園,和泉本町４－７－２５,"2,853.16",昭和51年３月
藤塚第四児童公園,和泉本町４－７－３９,"1,092.22",昭和51年３月
和泉多摩川児童公園,元和泉３－６－１１,"2,021.92",平成28年３月
水道橋児童公園,東和泉４－９－１,378.93,昭和51年４月
岩戸川緑地公園,岩戸南･猪方,"12,380.54",昭和55年３月
野川北公園,西野川１－１９－１０,265.97,昭和63年４月
元和泉公園,元和泉２－１２－７,985.79,平成１年４月
西河原自然公園,元和泉２－３４－２０,"4,918.34",平成３年４月
小足立のびのび公園,西野川４－１４－１,"1,884.93",平成９年12月
前原公園,西野川３－１１－１,"12,532.31",平成12年３月
駒井・上村中ひだまり公園,駒井町１－１２－１,"1,193.95",平成13年４月
谷戸橋南広場,東野川４－２３,"2,136.85",平成13年４月
市立古民家園,元和泉２－１５－５,"2,782.95",平成14年４月
多摩川緑地公園,猪方４－９２３（河川敷）,"13,306.49",昭和50年３月
北久保公園,和泉本町２－２３－９,201.26,平成16年４月
岩戸川南公園,岩戸南４－１７－２８,219.31,平成23年１月
清水川公園,東和泉２－９,"1,273.80",平成25年３月
根川公園,中和泉４－１５－４１,888.03,平成25年８月
猪方小川塚古墳公園,猪方３－２１－１２,242.01,令和２年４月
亀塚古墳公園,元和泉１－２１－１２,291.06,令和２年４月
土屋塚古墳公園,岩戸南１－４－２,288.42,令和３年４月
元和泉さんかく広場,元和泉３－１３－２３,720.03,令和４年３月
