名称,位置,面積（㎡）,開園年月
相の原児童遊園,岩戸南３－９－１４,173.84,昭和30年３月
田中橋児童遊園,元和泉２－１５－４,423.87,昭和42年３月
覚東児童遊園,西野川１－４－１０,161.62,昭和42年３月
岩戸児童遊園,岩戸南２－２１－１３,194.49,昭和42年８月
駒井児童遊園,駒井町２－６－３,172.71,昭和44年11月
松林児童遊園,元和泉３－１５－１５,"1,393.12",昭和48年４月
平川戸児童遊園,岩戸南４－１９－２５,657,昭和48年４月
小足立児童グランド,東野川２－１０－６,"2,189.26",昭和48年４月
いちょう児童遊園,中和泉３－１７－２７,231.48,昭和51年４月
やまぶき児童遊園,岩戸南２－１－７,114.65,昭和51年４月
けやき児童遊園,岩戸北１－１－７,116,昭和51年４月
しいのき児童遊園,岩戸北３－６－１７,160,昭和51年４月
あじさい児童遊園,東野川３－３－１,100.43,昭和51年４月
あかしや児童遊園,東野川３－５－４,101.91,昭和51年４月
しらかば児童遊園,東野川３－９－５,103.72,昭和51年４月
もくせい児童遊園,中和泉５－５－１９,100.74,昭和52年４月
みのわだ児童遊園,西野川４－２２－１０,497.73,昭和52年４月
こぶし児童遊園,駒井町１－１－６,118.68,昭和52年６月
さわら児童遊園,東和泉１－２－７,100,昭和54年３月
つつじ児童遊園,東和泉１－３０－３,100.38,昭和54年３月
まつのき児童遊園,岩戸北１－１１－１,89.32,昭和54年３月
さつき児童遊園,東野川１－２４－３,100.45,昭和54年３月
松原児童遊園,中和泉１－１８－１８,237.05,昭和57年６月
岩戸第二児童遊園,岩戸南１－２－１２,100.38,昭和57年６月
松原第二児童遊園,和泉本町３－１－５,114.52,昭和58年４月
稲荷森児童遊園,岩戸南３－２５－７,202.78,昭和59年６月
野川児童遊園,東野川３－２０－１,675.72,昭和59年６月
岩戸第三児童遊園,岩戸南１－６－１,259.38,昭和60年７月
和泉中央児童遊園,和泉本町１－３６－５,949.45,昭和61年４月
つばき児童遊園,岩戸北３－８－４,103.01,平成３年７月
本村児童遊園,西野川４－３８－７,561.3,平成４年10月
やまもも児童遊園,中和泉４－３－３５,168.97,平成４年10月
はなもも児童遊園,岩戸北１－８－１,165.18,平成４年10月
なしの木児童遊園,駒井町２－２４－６,113.65,平成７年10月
どんぐり児童遊園,東和泉１－７－６,218.2,平成７年10月
こでまり児童遊園,岩戸南３－１４－２９,104.06,平成９年４月
はなみずき児童遊園,岩戸南３－７－５,155,平成９年７月
アベリア児童遊園,東野川１－３１－５,152,平成９年10月
イルカ児童遊園,岩戸南２－３－１,255.51,平成10年７月
うりぼう児童遊園,猪方４－９－１６,275.81,平成10年12月
カッコウ児童遊園,東野川３－６－６,222.92,平成13年10月
メジロ児童遊園,岩戸南４－３－１７,175.19,平成14年４月
ツグミ児童遊園,東野川２－１９－２,159.55,平成14年４月
中和泉児童遊園,中和泉３－１１－２１,276.31,平成14年４月
オナガ児童遊園,岩戸南３－１３－１３,161.87,平成14年４月
松原西児童遊園,和泉本町３－１７－４,199,平成22年４月
もみの木児童遊園,岩戸南３－１１－７,234.19,平成25年４月
いずみ児童遊園,和泉本町１－３５－７,528.01,平成25年９月
和泉憩いの広場,和泉本町１－３５－７,586.84,平成25年10月
緑の丘児童遊園,西野川４－８－１７,"1,153.52",平成27年10月
さくら児童遊園,和泉本町３－２７－１３,282.06,平成27年12月
えのき広場,西野川４－８－７,274.01,平成29年４月
東和泉もみじ広場,東和泉２－１５－４,273.07,令和元年６月
