施設名,貯留容量（㎥）,貯留容量（ℓ）,活用方法
庁舎,270,-,トイレ洗浄、屋上・壁面緑化の散水
駒井学童保育所,81,-,トイレ洗浄
岩戸児童センター,152,-,せせらぎ
狛江第一小学校,250,-,校庭散水・トイレ洗浄
狛江第五小学校,79,-,校庭・芝生散水
狛江第六小学校,63,-,校庭散水
緑野小学校,200,-,トイレ洗浄、屋上緑化の潅水
ビン・缶リサイクルセンター,24,-,床洗浄
岩戸地域センター,-,250,施設洗浄・植栽の潅水
和泉多摩川地区センター,-,120,施設洗浄・植栽の潅水
第五小学校放課後クラブ,-,150,植栽の潅水
北部児童館,-,250,植栽の潅水
子育て・教育支援複合施設,-,150,植栽の潅水
