年度（西暦）,騒音レベル（昼間）（dB）,騒音レベル（夜間）（dB）,振動レベル（昼間）（dB）,振動レベル（夜間）（dB）
2019,66,62,48,41
2020,66,61,48,40
2021,65,60,48,40
