年度（西暦）,水素イオン濃度指数（ｐH）,溶存酸素量（DO）（mg/ｌ）,生物化学的酸素要求量（BOD）（mg/ｌ）,浮遊物質量（ＳＳ）（mg/ｌ）,大腸菌群数（MPN/100ml）
2019,7.2,11.6,1.3,6.5,35000
2020,7.8,9.4,0.9,4,41000
2021,8.1,10.7,0.8,4.5,1650
