年度（西暦）,二酸化硫黄（SO2）（ppm）,一酸化窒素（NO）（ppm）,二酸化窒素（NO2）（ppm）,浮遊粒子物質（SPM）（mg/㎥）,微小粒子状物質（PM2.5）（μg/㎥）
2018,0.001,0.003,0.014,0.016,11
2019,0.001,0.003,0.013,0.014,9.9
2020,0.001,0.003,0.013,0.012,9
