年度（西暦）,水素イオン濃度指数（ｐH）,溶存酸素量（DO）（mg/ｌ）,生物化学的酸素要求量（BOD）（mg/ｌ）,浮遊物質量（ＳＳ）（mg/ｌ）,大腸菌群数（MPN/100ml）
2019,8.1,10.1,0.6,7,15500
2020,7.4,9.2,0.9,3.5,14000
2021,7.8,11.9,0.8,3,8250
