年度（西暦）,市民グランド前（μSv/h）,谷戸橋広場（μSv/h）,狛江市役所前（μSv/h）,狛江三叉路（μSv/h）
2019,0.07,0.07,0.09,0.09
2020,0.07,0.06,0.09,0.08
2021,0.07,0.06,0.09,0.08
