年度（西暦）,騒音レベル（昼間）（dB）,騒音レベル（夜間）（dB）,振動レベル（昼間）（dB）,振動レベル（夜間）（dB）
2019,70,67,33,30
2020,69,65,34,30
2021,68,65,32,27
