地区,樹林（箇所）,生垣（箇所）
岩戸南,2,15
岩戸北,0,7
駒井町,2,8
猪方,0,8
和泉本町,1,19
中和泉,1,15
西和泉,0,10
東和泉,1,2
元和泉,1,1
東野川,1,8
西野川,2,11
総計,11,104
