施設名,取組内容
庁舎,緑のカーテン(壁面緑化)・屋上緑化
狛江市防災センター,緑のカーテン(壁面緑化)
岩戸地域センター,緑のカーテン(壁面緑化)
和泉多摩川地区センター,屋上緑化
駒井学童保育所,緑のカーテン(壁面緑化)
緑の丘児童遊園,緑のカーテン(壁面緑化)
自転車保管返還事務所,緑のカーテン(壁面緑化)
ビン・缶リサイクルセンター,緑のカーテン(壁面緑化)
中央公民館,緑のカーテン(壁面緑化)・一部屋上緑化
小中学校,緑のカーテン(壁面緑化)・一部屋上緑化・芝生化
北部児童館,屋上緑化
子育て・教育支援複合施設,緑のカーテン（壁面緑化）・屋上緑化
