年度（西暦）,多摩川流域自治体交流イベントラリー（人）,源流まつり（山梨県小菅村）（人）,狛江古代カップ多摩川いかだレース（人）,小菅村環境保全ツアー（人）,こまエコまつり（人）
2019,629,10000,10000,15,1700
2020,0,0,0,0,0
2021,0,0,0,0,0
