年度（西暦）,届出件数（件）,高木（本）,中木（本）,低木（本）,緑化面積（㎡）
2019,33,179,476,"1,614",1892.53
2020,23,183,291,"1,200",2158.49
2021,28,147,373,"2,127",2006.11
