市民委託管理による公園等,面積　単位（㎡）,管理開始日
小足立のびのび公園,"1,884.93",平成９（1997）年12月１日
狛江弁財天池特別緑地保全地区,"4,760.42",平成14（2002）年４月１日
前原公園（とんぼ池公園）,"12,532.31",平成12（2000）年３月31日
