管理地等,面積（㎡）,備考
多摩川五本松樹林地,"3,482.22",平成８（1996）年12月取得
自由ひろば（公園及びモニュメントの管理）,"8,113.59",平成11（1999）年９月占用
狛江水辺の楽校,－,平成13（2001）年４月開校
タカの森（樹林地）,656.6,平成14（2002）年12月寄付
五本松水辺の楽校,"12,000.00",平成15（2003）年５月開校
多摩川河川敷包括占用区域,"65,276",平成24（2012）年４月占用
