年度（西暦）,担当課,再生資源の利用状況のうち改良土（?）,再生資源の利用状況のうち砕石（?）,再生資源の利用状況のうちアスファルト合材（ｔ）,再生資源の利用状況のうちスラグ（?）,再生資源の排出状況のうち発生土（?）,再生資源の排出状況のうちコンクリート塊（ｔ）,再生資源の排出状況のうちアスファルト魂（ｔ）
2019,整備課,18,2296.4,1225.6,0,1470.9,155.8,1993.1
2020,整備課,11.6,2671.4,922.8,0,846.7,306.8,1050.3
2021,整備課,15,2993.3,1719,0,1512.3,270,1669.3
2019,下水道課,149.3,126.5,91.6,0,133,59.59,180.35
2020,下水道課,0,2.2,0,0,13.3,6,0
2021,下水道課,225,134,125.8,0,107,79.1,223.8
