年度（西暦）,新聞（ｔ）,雑誌等（ｔ）,段ボール（ｔ）,古布（ｔ）,牛乳パック（ｔ）,機密文書（ｔ）
2019,7,60,44,2,0,27
2020,31,46,48,1,1,28
2021,4,81,53,2,1,27
