年月日（西暦）,耕地面積（ａ）,田（ａ）,畑（ａ）,樹園地（ａ）,農家数（戸）,農家人口（人）
20100201,3333,0,2846,487,129,291
20150201,2884,0,2259,625,118,263
20200201,2603,10,1974,619,108,221
