年（西暦）,降雨日数（日）,降雨量（mm）,最大１日降雨量（mm）,最大１時間降雨量（mm）
2019,128,1931.5,291.5,38.5
2020,111,1479.5,109.5,44
2021,99,1344,150.5,30.5
