"投票所","投票所名","住所","緯度","経度"
"第1投票所","虎ノ門いきいきプラザ","東京都港区虎ノ門一丁目21番10号","35.667896","139.748736"
"第2投票所","南桜公園管理棟","東京都港区西新橋二丁目10番13号","35.666211","139.752236"
"第3投票所","生涯学習センター","東京都港区新橋三丁目16番3号","35.665603","139.757085"
"第4投票所","福祉プラザさくら川","東京都港区新橋六丁目19番2号","35.661172","139.753823"
"第5投票所","エコプラザ","東京都港区浜松町一丁目13番1号","35.658833","139.756852"
"第6投票所","障害保健福祉センター","東京都港区芝一丁目8番23号","35.651717","139.755562"
"第7投票所","芝小学校","東京都港区芝二丁目21番3号","35.651349","139.750176"
"第8投票所","芝コミュニティはうす（芝区民協働スペース）","東京都港区芝五丁目13番15号","35.651372","139.746479"
"第9投票所","芝浦港南地区総合支所","東京都港区芝浦一丁目16番1号","35.646408","139.751501"
"第10投票所","三田中学校","東京都港区三田四丁目13番13号","35.645357","139.740831"
"第11投票所","赤羽小学校","東京都港区三田二丁目6番2号","35.653347","139.742537"
"第12投票所","豊岡いきいきプラザ","東京都港区三田五丁目7番7号","35.646551","139.739656"
"第13投票所","ＨＵＧ高輪（高輪区民協働スペース）","東京都港区高輪一丁目5番38号","35.64175","139.73681"
"第14投票所","御田小学校（旧三光小学校）","東京都港区白金三丁目18番2号","35.6643","139.72921"
"第15投票所","神応いきいきプラザ","東京都港区白金六丁目9番5号 ","35.643633","139.724277"
"第16投票所","白金小学校","東京都港区白金台一丁目4番26号","35.636912","139.728568"
"第17投票所","高輪台小学校","東京都港区高輪二丁目8番24号","35.63642","139.734367"
"第18投票所","シティハイツ桂坂","東京都港区高輪二丁目13番8号","35.6344517","139.7373991"
"第19投票所","国民生活センター","東京都港区高輪三丁目13番22号","35.6297599","139.7347433"
"第20投票所","港南小学校","東京都港区港南四丁目3番28号","35.629326","139.749618"
"第21投票所","六本木中学校","東京都港区六本木六丁目8番16号","35.660552","139.732184"
"第22投票所","麻布小学校","東京都港区麻布台一丁目5番15号","35.661832","139.738648"
"第23投票所","飯倉いきいきプラザ","東京都港区東麻布二丁目16番11号","35.65693","139.740929"
"第24投票所","南山小学校","東京都港区元麻布三丁目8番15号","35.657344","139.731122"
"第25投票所","南麻布いきいきプラザ","東京都港区南麻布一丁目5番26号","35.651414","139.73509"
"第26投票所","本村小学校","東京都港区南麻布三丁目9番33号","35.649829","139.72991"
"第27投票所","笄小学校","東京都港区西麻布三丁目11番16号","35.656564","139.72491"
"第28投票所","西麻布いきいきプラザ","東京都港区西麻布二丁目13番3号","35.660801","139.722696"
"第29投票所","高陵中学校","東京都港区西麻布四丁目14番8号","35.65703","139.720543"
"第30投票所","赤坂地区総合支所","東京都港区赤坂四丁目18番13号","35.674775","139.731725"
"第31投票所","赤坂子ども中高生プラザ","東京都港区赤坂六丁目6番14号","35.670071","139.73765"
"第32投票所","赤坂学園赤坂小学校","東京都港区赤坂八丁目13番29号","35.669305","139.731065"
"第33投票所","赤坂図書館","東京都港区南青山一丁目3番3号","35.671596","139.725328"
"第34投票所","青山小学校","東京都港区南青山二丁目21番2号","35.669882","139.719084"
"第35投票所","青南小学校","東京都港区南青山四丁目21番15号","35.663616","139.716123"
"第36投票所","赤坂子ども中高生プラザ青山館","東京都港区北青山三丁目4番1号  201号","35.667302","139.712219"
"第37投票所","お台場学園","東京都港区台場一丁目1番5号","35.634209","139.777132"
"第38投票所","芝浦港南区民センター","東京都港区芝浦四丁目13番1号","35.640555","139.748687"
"第39投票所","品川インターシティＣ棟","東京都港区港南二丁目15番3号","35.62543","139.74189"
"第40投票所","芝浦アイランド児童高齢者交流プラザ","東京都港区芝浦四丁目20番1号","35.640413","139.752402"
"第41投票所","シティハイツ港南","東京都港区港南三丁目3番17号","35.633141","139.749575"

"投票所一覧","Ver202404",,,
